Year;Recruitment;High;Low;SSB;High;Low;Landings;Discards;Unallocated;Mean F;High;Low
1963;496332;673902;365551;151752;199710;115310;106724;10739;0;0.469;0.542;0.406
1964;818313;1109012;603813;162918;209379;126766;134996;9679;0;0.513;0.584;0.45
1965;1058115;1429907;782994;199187;247964;160005;182225;16880;0;0.565;0.644;0.496
1966;1292385;1744119;957652;221461;273774;179143;214486;26030;0;0.57;0.646;0.502
1967;1093616;1477556;809442;249946;308260;202663;260407;26476;0;0.607;0.685;0.538
1968;553491;748600;409233;260928;311486;218576;276509;17031;0;0.644;0.728;0.57
1969;489432;665145;360137;257816;310752;213897;216858;9591;0;0.609;0.685;0.541
1970;1586435;2146910;1172279;270493;324339;225585;232118;19766;0;0.646;0.723;0.577
1971;2069878;2813838;1522615;274581;328248;229687;292143;57989;0;0.733;0.817;0.658
1972;517622;704765;380172;243288;290625;203661;329062;34579;0;0.794;0.886;0.712
1973;746387;1015915;548367;211082;244630;182134;234685;25109;0;0.78;0.87;0.699
1974;727959;992915;533706;230038;266275;198733;209400;26291;0;0.742;0.828;0.666
1975;1242952;1711465;902695;210239;245365;180142;209609;36680;0;0.801;0.89;0.721
1976;850007;1179098;612767;180052;212951;152235;201793;44534;0;0.857;0.954;0.77
1977;2101160;2896692;1524108;154199;182083;130586;181861;79063;0;0.813;0.904;0.731
1978;1342441;1856382;970785;156061;177780;136995;307737;49316;0;0.902;1;0.813
1979;1638022;2256668;1188972;157157;177368;139249;278173;62944;0;0.844;0.935;0.761
1980;2626073;3635801;1896764;173338;194165;154745;290977;102130;0;0.919;1.016;0.832
1981;1059174;1463293;766661;187775;208379;169208;341465;54394;0;0.936;1.031;0.849
1982;1732368;2363939;1269533;182225;202974;163598;323838;64280;0;1.05;1.155;0.954
1983;951695;1278937;708185;153584;171755;137335;288082;37609;0;1.042;1.145;0.948
1984;1701465;2280898;1269229;132058;148334;117569;210029;68050;0;0.972;1.068;0.884
1985;417901;567253;307872;133119;149417;118599;212990;28029;0;0.937;1.031;0.851
1986;1852414;2478440;1384514;117712;131345;105495;168721;58924;0;0.991;1.088;0.903
1987;709986;946967;532309;122639;137130;109680;223910;32370;0;0.972;1.068;0.885
1988;488454;652457;365675;122149;134363;111046;190995;14654;0;0.994;1.091;0.905
1989;826537;1108258;616430;109535;121444;98794;138829;40296;0;1.011;1.11;0.92
1990;330050;439600;247801;99310;110782;89025;115151;23133;0;0.935;1.031;0.847
1991;378511;500899;286027;96182;108090;85586;102642;15886;0;0.924;1.018;0.839
1992;858550;1129878;652378;91766;102603;82074;108771;31351;0;0.911;1.003;0.827
1993;438888;572621;336388;99310;109868;89766;123112;27007;0;0.933;1.027;0.848
1994;1024792;1349980;777936;102950;113029;93770;106092;41734;7391;0.956;1.049;0.871
1995;601391;787722;459135;122272;133901;111652;130236;31860;30798;1.005;1.103;0.916
1996;379648;495320;290989;118302;129125;108387;132037;21398;4603;1.003;1.099;0.915
1997;1162403;1544391;874896;103053;112825;94128;115238;39370;0;0.98;1.074;0.895
1998;143918;189325;109402;104193;115540;93961;105451;31070;0;1.001;1.096;0.915
1999;252963;329252;194351;87466;96121;79590;84107;11939;0;1.061;1.161;0.969
2000;461852;601367;354704;69355;76943;62516;70168;15637;0;1.065;1.168;0.972
2001;170076;221394;130653;64731;71929;58254;44389;11387;17291;0.993;1.094;0.902
2002;248451;322862;191189;57699;64213;51846;47036;9962;0;0.939;1.036;0.85
2003;125242;163296;96055;58047;64417;52306;31113;4730;18280;0.919;1.021;0.827
2004;202805;263040;156364;47193;53292;41792;27270;7489;5214;0.885;0.985;0.795
2005;156686;205385;119534;48485;56027;41958;29088;11097;0;0.819;0.915;0.733
2006;361132;467764;278808;44179;51941;37577;22652;9167;0;0.724;0.817;0.641
2007;170928;220691;132386;72911;83562;63618;24101;29407;0;0.668;0.757;0.59
2008;197008;254623;152430;81064;93111;70576;27092;25362;0;0.631;0.721;0.553
2009;197600;255531;152802;90944;105636;78295;33290;21716;0;0.616;0.707;0.536
2010;299539;388668;230849;93340;110839;78603;36279;12659;0;0.531;0.616;0.457
2011;150693;195305;116271;105451;128668;86423;34441;10528;0;0.432;0.507;0.368
2012;205870;266545;159006;106724;132011;86281;32728;7665;0;0.393;0.463;0.334
2013;254995;337459;192683;118184;145845;95770;30915;10869;0;0.385;0.451;0.329
2014;381170;548510;264882;124742;153476;101387;34822;11122;0;0.393;0.465;0.333
2015;204338;461852;125242;148896;186316;118991;;;;;;
