Year;Recruitment;SSB;Landings;Discards;Mean F
1957;460518;274522;70563;7880;0,28
1958;700350;285276;73354;14837;0,33
1959;864891;290983;79300;29864;0,37
1960;760716;300102;87541;29793;0,37
1961;866067;313758;85984;32490;0,35
1962;593498;373171;87472;37903;0,38
1963;694671;359434;107118;41258;0,42
1964;2254825;353366;110540;37031;0,46
1965;701920;330960;97143;43080;0,38
1966;594050;360172;101834;64718;0,4
1967;407196;416311;108819;54546;0,42
1968;438896;404080;111534;27987;0,33
1969;658811;372570;121651;21169;0,35
1970;664223;330537;130342;29640;0,46
1971;420332;315802;113944;22995;0,38
1972;374301;319303;122843;19632;0,41
1973;1320357;269029;130429;13354;0,47
1974;1136003;276144;112540;44945;0,49
1975;864717;288328;108536;86699;0,58
1976;691694;302098;113670;53247;0,42
1977;990834;308979;119188;57501;0,51
1978;920721;296209;113984;45655;0,46
1979;905459;294828;145347;67935;0,66
1980;1148911;274897;140764;31080;0,55
1981;901571;264161;141233;33031;0,54
1982;2111360;265710;156153;49127;0,59
1983;1368390;325125;145779;74483;0,56
1984;1299666;346561;165772;70816;0,57
1985;1881003;377395;171838;60549;0,51
1986;4797419;408903;178878;129953;0,64
1987;1979316;481714;168759;190524;0,7
1988;1831280;411237;168552;156423;0,7
1989;1251215;429803;178891;107793;0,61
1990;1084413;393373;169453;71225;0,57
1991;960137;366184;157277;80935;0,62
1992;811927;309023;136727;57049;0,61
1993;565983;273910;128506;35016;0,6
1994;481704;252186;121925;23785;0,57
1995;1198727;237700;109348;21828;0,61
1996;1339800;210524;91386;52049;0,62
1997;2216078;235124;92958;100145;0,77
1998;815099;255425;79810;103751;0,68
1999;883857;232038;89726;70976;0,66
2000;1040828;258964;90754;44311;0,47
2001;579126;306592;92912;100309;0,74
2002;1868745;229237;79178;55099;0,55
2003;582322;265587;74722;79275;0,59
2004;1387269;247063;70511;57478;0,46
2005;810661;291166;62796;56250;0,37
2006;990524;303194;67143;64160;0,36
2007;1182367;309077;58576;42373;0,32
2008;1110178;405463;58336;46993;0,25
2009;1165898;449107;62360;45902;0,22
2010;1442054;552201;70340;46570;0,21
2011;1901552;537817;76507;41593;0,2
2012;1179067;591044;82018;59914;0,22
2013;1501698;654913;86222;40025;0,18
2014;1542295;803308;80686;52937;0,18
2015;650882;901694;;;
Average;1121159;354125;109663;55826;0,47
