Year,Recruitment,SSB,Landings,Discards,Mean F
1957,132202,62764,13265,653,0.214
1958,120132,65189,13201,612,0.214
1959,443953,68153,15512,831,0.225
1960,41337,69523,17602,1137,0.254
1961,67315,103475,28706,2519,0.306
1962,11128,86465,28470,1237,0.35
1963,12594,69695,22468,645,0.334
1964,615442,51436,14549,221,0.282
1965,151562,41429,10492,848,0.259
1966,54487,110633,33896,4464,0.299
1967,83368,105601,33565,2395,0.4
1968,116260,90301,34959,1583,0.505
1969,83165,68359,23106,1872,0.529
1970,198396,62973,20936,1988,0.504
1971,56236,55432,21394,2475,0.496
1972,106243,64110,25589,2008,0.525
1973,140931,46717,20466,1466,0.554
1974,119070,44992,19942,1903,0.538
1975,58149,45953,18717,1919,0.494
1976,139912,45461,16904,1462,0.462
1977,172918,37225,15896,1532,0.463
1978,61363,43186,19558,2155,0.487
1979,16882,52189,23214,1953,0.51
1980,175266,38542,16023,877,0.515
1981,214724,26040,13276,1564,0.526
1982,205530,37478,20124,3179,0.561
1983,199377,49493,26828,3824,0.611
1984,90799,51225,28188,3667,0.645
1985,107125,46825,24673,2506,0.628
1986,164434,37384,17675,1569,0.58
1987,85455,34096,15985,1739,0.534
1988,671031,42287,18408,1891,0.506
1989,128096,38405,22334,3771,0.493
1990,233559,121253,49054,5733,0.482
1991,85172,87197,35819,2842,0.48
1992,441748,87143,33672,2367,0.5
1993,87959,58340,29573,3245,0.534
1994,64864,85457,36116,3841,0.579
1995,113156,64139,31656,2232,0.624
1996,71297,37470,19932,1607,0.648
1997,309603,31391,15758,1556,0.655
1998,144935,23353,16205,2694,0.652
1999,112579,48977,25258,3465,0.644
2000,140476,41657,22264,2550,0.634
2001,74001,33714,19115,2309,0.619
2002,211829,33708,16437,1782,0.601
2003,96924,26379,15967,2706,0.584
2004,50766,38150,16922,2397,0.565
2005,51021,31116,13434,1433,0.543
2006,193256,24690,11330,1282,0.516
2007,71319,17465,10782,2116,0.483
2008,79249,33329,12825,1840,0.456
2009,99058,29421,11664,1267,0.442
2010,223384,29207,11414,1060,0.441
2011,205064,29191,11728,1406,0.432
2012,50595,39187,16033,1957,0.388
2013,86491,45444,16232,1458,0.32
2014,182074,40570,11960,798,0.255
2015,103741,41137,,,
Average,146254,52070,20812,2042,0.481
