Year;1;2;3;4;5;6;7;8;9;10
1957;0.025;0.07;0.147;0.187;0.208;0.253;0.262;0.355;0.39;0.365
1958;0.025;0.07;0.164;0.205;0.226;0.228;0.297;0.318;0.393;0.422
1959;0.025;0.07;0.159;0.198;0.239;0.271;0.292;0.276;0.303;0.426
1960;0.025;0.07;0.163;0.207;0.234;0.24;0.268;0.242;0.36;0.431
1961;0.025;0.07;0.148;0.206;0.235;0.232;0.259;0.274;0.281;0.396
1962;0.025;0.07;0.148;0.192;0.24;0.301;0.293;0.282;0.273;0.441
1963;0.025;0.07;0.148;0.193;0.243;0.275;0.311;0.363;0.329;0.465
1964;0.025;0.07;0.159;0.214;0.24;0.291;0.305;0.306;0.365;0.474
1965;0.025;0.14;0.198;0.223;0.251;0.297;0.337;0.358;0.526;0.46
1966;0.025;0.07;0.16;0.149;0.389;0.31;0.406;0.377;0.385;0.505
1967;0.025;0.177;0.164;0.235;0.242;0.399;0.362;0.283;0.381;0.459
1968;0.025;0.122;0.171;0.248;0.312;0.28;0.629;0.416;0.41;0.486
1969;0.025;0.137;0.174;0.252;0.324;0.364;0.579;0.415;0.469;0.521
1970;0.025;0.137;0.201;0.275;0.341;0.367;0.423;0.458;0.39;0.554
1971;0.034;0.148;0.213;0.313;0.361;0.41;0.432;0.474;0.483;0.533
1972;0.038;0.155;0.218;0.313;0.419;0.443;0.443;0.443;0.508;0.602
1973;0.039;0.149;0.226;0.322;0.371;0.433;0.452;0.472;0.446;0.536
1974;0.035;0.146;0.218;0.329;0.408;0.429;0.499;0.565;0.542;0.618
1975;0.035;0.148;0.206;0.311;0.403;0.446;0.508;0.582;0.58;0.65
1976;0.035;0.142;0.201;0.301;0.379;0.458;0.508;0.517;0.644;0.665
1977;0.035;0.147;0.202;0.291;0.365;0.409;0.478;0.487;0.531;0.644
1978;0.035;0.139;0.211;0.29;0.365;0.429;0.427;0.385;0.542;0.644
1979;0.045;0.148;0.211;0.3;0.352;0.429;0.521;0.562;0.567;0.743
1980;0.039;0.157;0.2;0.304;0.345;0.394;0.489;0.537;0.579;0.645
1981;0.05;0.137;0.2;0.305;0.364;0.402;0.454;0.522;0.561;0.622
1982;0.05;0.13;0.193;0.27;0.359;0.411;0.429;0.476;0.583;0.642
1983;0.05;0.14;0.2;0.285;0.329;0.435;0.464;0.483;0.51;0.636
1984;0.05;0.133;0.203;0.268;0.348;0.386;0.488;0.591;0.567;0.663
1985;0.05;0.127;0.185;0.267;0.324;0.381;0.38;0.626;0.554;0.642
1986;0.05;0.133;0.191;0.278;0.345;0.423;0.495;0.487;0.587;0.686
1987;0.05;0.154;0.191;0.262;0.357;0.381;0.406;0.454;0.332;0.62
1988;0.05;0.133;0.193;0.26;0.335;0.409;0.417;0.474;0.486;0.654
1989;0.05;0.133;0.195;0.29;0.35;0.34;0.411;0.475;0.419;0.594
1990;0.05;0.148;0.203;0.294;0.357;0.447;0.399;0.494;0.481;0.653
1991;0.05;0.139;0.184;0.254;0.301;0.413;0.447;0.522;0.548;0.573
1992;0.05;0.156;0.194;0.257;0.307;0.398;0.406;0.472;0.5;0.54
1993;0.05;0.128;0.184;0.229;0.265;0.293;0.344;0.482;0.437;0.583
1994;0.05;0.143;0.174;0.209;0.257;0.326;0.349;0.402;0.494;0.459
1995;0.05;0.151;0.179;0.24;0.253;0.321;0.365;0.357;0.545;0.545
1996;0.05;0.147;0.178;0.208;0.274;0.268;0.321;0.375;0.402;0.546
1997;0.05;0.15;0.19;0.225;0.252;0.303;0.319;0.325;0.36;0.424
1998;0.05;0.14;0.173;0.234;0.267;0.281;0.328;0.273;0.336;0.455
1999;0.05;0.131;0.187;0.216;0.259;0.296;0.34;0.322;0.369;0.464
2000;0.05;0.139;0.185;0.226;0.264;0.275;0.287;0.337;0.391;0.376
2001;0.05;0.144;0.185;0.223;0.263;0.319;0.327;0.421;0.41;0.53
2002;0.05;0.145;0.197;0.245;0.267;0.267;0.299;0.308;0.435;0.435
2003;0.05;0.146;0.194;0.24;0.256;0.288;0.33;0.312;0.509;0.47
2004;0.05;0.137;0.195;0.24;0.245;0.305;0.316;0.448;0.356;0.601
2005;0.05;0.15;0.189;0.234;0.237;0.258;0.276;0.396;0.369;0.429
2006;0.05;0.148;0.197;0.25;0.27;0.319;0.286;0.341;0.409;0.455
2007;0.05;0.152;0.179;0.216;0.242;0.245;0.275;0.252;0.257;0.364
2008;0.05;0.154;0.198;0.212;0.239;0.302;0.282;0.231;0.274;0.4
2009;0.05;0.142;0.185;0.232;0.255;0.279;0.283;0.333;0.302;0.39
2010;0.05;0.149;0.2;0.23;0.272;0.307;0.336;0.336;0.361;0.41
2011;0.05;0.141;0.179;0.223;0.261;0.276;0.32;0.36;0.444;0.391
2012;0.025;0.058;0.144;0.205;0.23;0.209;0.251;0.235;0.334;0.223
2013;0.034;0.068;0.117;0.186;0.254;0.258;0.309;0.241;0.325;0.562
2014;0.022;0.079;0.136;0.188;0.212;0.227;0.228;0.29;0.343;0.603
