Year;1;2;3;4;5;6;7;8;9;10
1957;132202;74868;89235;63400;17839;17711;31608;12588;3125;42804
1958;120132;119617;66705;63015;43202;12538;12244;22032;9356;34138
1959;443953;108698;106419;45922;44282;29788;8777;8876;16152;31888
1960;41337;401698;96481;71416;32511;29677;20794;6454;6365;34448
1961;67315;37402;354991;63303;48739;20743;20002;14873;4439;28070
1962;11128;60901;32819;229137;39445;29009;12960;13173;9617;21020
1963;12594;10065;53082;21016;131871;22415;16753;7751;8184;19035
1964;615442;11392;8768;34033;12739;77565;12869;9978;5003;17571
1965;151562;556820;9952;5595;23212;8088;47547;8390;6988;15810
1966;54487;137133;484915;6095;4041;15294;5297;33864;6212;16880
1967;83368;49297;116773;263845;4209;2542;10313;3952;25302;17255
1968;116260;75389;39555;52719;157447;2370;1716;7810;2899;31216
1969;83166;104703;54654;15389;26340;81164;1580;1289;5626;24574
1970;198396;73727;69358;21437;7329;13955;53287;1153;930;21797
1971;56236;172323;47094;29110;10668;4155;8997;37310;835;16450
1972;106243;49194;111682;19760;14834;6181;2622;6064;26407;12233
1973;140931;94671;33104;42984;9771;8254;3812;1728;4058;25857
1974;119070;126495;65938;12006;20460;5123;4986;2484;1088;18835
1975;58149;106698;89521;26223;5748;10498;3055;3226;1541;12360
1976;139912;51594;75806;41558;13072;3016;6244;1964;2050;8834
1977;172918;123127;36895;38007;21389;7098;1809;3998;1266;7013
1978;61363;154060;89582;17491;19511;11862;4324;1157;2510;5197
1979;16882;55186;113983;37320;8784;10871;7296;2756;695;4631
1980;175266;15213;40976;44076;18445;4835;6605;4599;1632;3154
1981;214724;157527;11124;16726;21775;9887;2822;4073;2818;2933
1982;205530;191377;111671;4852;8209;11319;5474;1687;2594;3663
1983;199377;181401;130120;47300;2294;4173;6012;3155;1082;4013
1984;90799;176126;119024;48559;21102;1153;2168;3340;1971;3183
1985;107125;80908;115752;39439;21034;10520;590;1169;2007;3098
1986;164434;96201;56147;39223;17825;10380;5274;314;684;2989
1987;85455;148232;71233;21336;18991;8765;5180;2841;183;2143
1988;671031;77130;114388;29745;10665;9508;4561;2924;1690;1384
1989;128096;605557;60370;49286;14456;5556;5370;2751;1798;1891
1990;233559;115499;474990;26461;23051;7767;3321;3380;1736;2328
1991;85172;210439;90811;219881;12619;12302;4566;2063;2134;2566
1992;441748;76715;166089;45713;112480;6421;6543;2629;1265;2881
1993;87959;397274;60218;88461;24282;53978;3002;3383;1539;2428
1994;64864;78532;303508;31843;44385;11300;23983;1441;1891;2217
1995;113156;56688;57247;150983;13916;20514;5186;11306;772;2201
1996;71297;96909;39663;26333;58495;6317;9712;2466;5808;1527
1997;309603;62305;67717;17298;10371;25140;2915;4647;1210;3599
1998;144935;275863;44454;28792;7380;4190;11055;1401;2193;2270
1999;112579;129763;199119;18687;12665;2939;1833;5374;651;2073
2000;140476;100271;92630;83291;7804;5306;1365;910;2543;1289
2001;74001;123160;69725;39107;32824;3470;2627;700;455;1913
2002;211829;63749;83030;30359;15948;14894;1754;1404;379;1281
2003;96924;181979;41924;37687;13792;7127;7393;976;820;970
2004;50766;83817;118671;19613;18651;6107;3489;4235;596;1093
2005;51021;44144;55433;55845;9842;8531;3073;2019;2575;1027
2006;193256;44350;29846;26224;27349;4771;4507;1773;1191;2125
2007;71319;166050;30328;14699;12812;13991;2611;2584;1028;1922
2008;79249;59578;113253;16152;7557;6775;7696;1491;1524;1739
2009;99058;65662;41174;64229;8802;4053;3678;4362;894;1957
2010;223384;86180;47925;23529;35803;4712;2164;2048;2559;1673
2011;205064;200524;67407;26211;12951;19096;2505;1177;1122;2319
2012;50595;185200;164028;35458;14336;7082;10389;1348;604;1766
2013;86491;45721;153912;89119;20180;8436;4085;5726;697;1226
2014;182074;78062;37909;91625;54676;13079;5256;2367;3197;1074
