"","year","ssb","mean.f","effort_rel_2003","effort_bel_rel_2003","fpue","fpue_bel","ssb_ple","mean.f_ple"
"1",1972,64110,0.525,NA,0.699530516431925,NA,0.750503355704698,319303,0.41
"2",1973,46717,0.554,NA,0.690140845070423,NA,0.802734693877551,269029,0.47
"3",1974,44992,0.538,NA,0.755868544600939,NA,0.71176397515528,276144,0.49
"4",1975,45953,0.494,NA,0.92018779342723,NA,0.53684693877551,288328,0.58
"5",1976,45461,0.462,NA,1.04929577464789,NA,0.440295302013423,302098,0.42
"6",1977,37225,0.463,NA,1.11737089201878,NA,0.414365546218487,308979,0.51
"7",1978,43186,0.487,0.858527131782946,1.18075117370892,0.567250564334086,0.41244930417495,296209,0.46
"8",1979,52189,0.51,0.87015503875969,0.938967136150235,0.586102449888641,0.54315,294828,0.66
"9",1980,38542,0.515,0.872093023255814,0.826291079812207,0.590533333333333,0.623267045454545,274897,0.55
"10",1981,26040,0.526,0.897286821705426,0.730046948356808,0.586211663066955,0.720501607717042,264161,0.54
"11",1982,37478,0.561,1.11046511627907,0.81924882629108,0.505193717277487,0.684773638968482,265710,0.59
"12",1983,49493,0.611,1.27131782945736,0.830985915492958,0.480603658536585,0.735271186440678,325125,0.56
"13",1984,51225,0.645,1.37209302325581,1.00469483568075,0.470084745762712,0.641985981308411,346561,0.57
"14",1985,46825,0.628,1.36240310077519,1.20657276995305,0.460950213371266,0.520482490272374,377395,0.51
"15",1986,37384,0.58,1.32170542635659,0.997652582159624,0.438826979472141,0.581364705882353,408903,0.64
"16",1987,34096,0.534,1.32751937984496,1.19014084507042,0.40225401459854,0.448686390532544,481714,0.7
"17",1988,42287,0.506,1.47868217054264,1.24413145539906,0.342196592398427,0.406709433962264,411237,0.7
"18",1989,38405,0.493,1.1937984496124,1.27464788732394,0.412967532467532,0.386773480662983,429803,0.61
"19",1990,121253,0.482,1.38372093023256,1.518779342723,0.348336134453781,0.317360123647604,393373,0.57
"20",1991,87197,0.48,1.32751937984496,1.74413145539906,0.361576642335766,0.275208613728129,366184,0.62
"21",1992,87143,0.5,1.37790697674419,1.58920187793427,0.362869198312236,0.314623338257016,309023,0.61
"22",1993,58340,0.534,1.49031007751938,1.66901408450704,0.358314694408323,0.319949367088608,273910,0.6
"23",1994,85457,0.579,1.57751937984496,1.40845070422535,0.367031941031941,0.41109,252186,0.57
"24",1995,64139,0.624,1.57364341085271,1.09154929577465,0.396532019704434,0.571664516129032,237700,0.61
"25",1996,37470,0.648,1.39728682170543,1.52347417840376,0.463755894590846,0.425343605546995,210524,0.62
"26",1997,31391,0.655,1.3953488372093,1.10798122065728,0.469416666666667,0.591165254237288,235124,0.77
"27",1998,23353,0.652,1.36046511627907,1.02347417840376,0.479247863247863,0.637045871559633,255425,0.68
"28",1999,48977,0.644,1.30426356589147,1.3075117370892,0.493765230312036,0.492538599640934,232038,0.66
"29",2000,41657,0.634,1.31201550387597,1.15727699530516,0.48322599704579,0.547837728194726,258964,0.47
"30",2001,33714,0.619,1.18992248062015,1.06807511737089,0.520201954397394,0.579547252747253,306592,0.74
"31",2002,33708,0.601,1.0968992248062,1.2112676056338,0.547908127208481,0.496174418604651,229237,0.55
"32",2003,26379,0.584,1,1,0.584,0.584,265587,0.59
"33",2004,38150,0.565,0.926340823993014,0.892339413164155,0.609926697999289,0.633167146564288,247063,0.46
"34",2005,31116,0.543,0.95379226149212,0.817787470261697,0.569306359385352,0.663986695499549,291166,0.37
"35",2006,24690,0.516,0.818780431444002,0.706724821570182,0.630205584041599,0.730128593550125,303194,0.36
"36",2007,17465,0.483,0.759705854084485,0.53486915146709,0.6357723813805,0.903024597091049,309077,0.32
"37",2008,33329,0.456,0.61211961334045,0.654932593180016,0.74495244076811,0.696254858512841,405463,0.25
"38",2009,29421,0.442,0.678658266003284,0.638715305313243,0.651285075481363,0.692014104442403,449107,0.22
"39",2010,29207,0.441,0.64856270538988,0.511593973037272,0.679965092557851,0.86201171875,552201,0.21
"40",2011,29191,0.432,0.59852681647986,0.396970658207772,0.721772171447119,1.08824163969795,537817,0.2
"41",2012,39187,0.388,0.425777439679024,0.300547184773989,0.911274210048557,1.29097865379034,591044,0.22
"42",2013,45444,0.32,0.383048164757704,0.250769230769231,0.835404080848201,1.2760736196319,654913,0.18
