Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,Stratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,Depth,HaulVal,StdSpecRecCode,BycSpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,TowDir,WindDir,WindSpeed,SwellDir,SwellHeight,ICESArea,AphiaID,Species,SpecVal,Sex,SubFactor,LngtClass,HLNoAtLngt,NoPerHaul,BeamWidth,DistanceDerived,CPUE_number_per_hour,SweptArea_km2,CPUE_number_per_km2
BTS,3,ENG,COR,BT4A,-9,-9,-9,-9,82,2004,8,4,0625,-9,30,D,51.4607,2.3445,51.4802,2.3918,31F2,28,V,1,1,R,,FM,0,,,56,,,,,IVc,127160,Solea solea,1,M,1.0000,240,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,160,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,170,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,180,4.00,4.000000,4,926,8.00,0.00,1079.91
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,190,3.00,3.000000,4,926,6.00,0.00,809.94
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,200,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,230,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,240,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,250,4.00,4.000000,4,926,8.00,0.00,1079.91
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,260,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,270,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,280,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,360,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,F,1.0000,380,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,160,3.00,3.000000,4,926,6.00,0.00,809.94
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,170,6.00,6.000000,4,926,12.00,0.00,1619.87
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,180,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,190,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,230,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,250,3.00,3.000000,4,926,6.00,0.00,809.94
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,260,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,270,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,28,2003,7,30,0845,-9,30,D,49.4650,-0.0583,49.4317,-0.0600,27E9,17,V,1,1,R,,FM,0,,,182,,,,,VIId,127160,Solea solea,1,M,1.0000,290,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,180,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,190,3.00,3.000000,4,926,6.00,0.00,809.94
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,200,4.00,4.000000,4,926,8.00,0.00,1079.91
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,210,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,220,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,240,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,250,2.00,2.000000,4,926,4.00,0.00,539.96
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,260,3.00,3.000000,4,926,6.00,0.00,809.94
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,290,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,300,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,F,1.0000,310,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,M,1.0000,170,1.00,1.000000,4,926,2.00,0.00,269.98
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,M,1.0000,180,7.00,7.000000,4,926,14.00,0.00,1889.85
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,M,1.0000,190,5.00,5.000000,4,926,10.00,0.00,1349.89
BTS,3,ENG,COR,BT4A,-9,-9,-9,1,29,2004,7,29,1742,-9,30,D,49.4632,-0.0587,49.4313,-0.0602,27E9,17,V,1,1,S,,FM,0,,,78,,,,,VIId,127160,Solea solea,1,M,1.0000,200,2.00,2.000000,4,926,4.00,0.00,539.96
