Survey,Year,Quarter,Ship,AphiaID,Species,LngtClass,Sex,Maturity,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10
BTS,2003,3,COR,127143,Pleuronectes platessa,60,F,-9,1,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,60,M,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,70,F,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,70,M,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,80,F,-9,7,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,80,M,-9,7,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,90,F,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,90,M,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,100,F,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,100,M,-9,6,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,110,F,-9,2,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,110,M,-9,4,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,120,F,-9,3,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,120,M,-9,3,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,130,F,-9,2,0,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,130,M,-9,2,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,140,F,-9,1,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,140,M,-9,1,1,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,150,F,-9,1,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,150,M,-9,1,3,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,160,F,-9,0,5,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,160,M,-9,0,6,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,170,F,-9,0,5,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,170,M,-9,0,4,2,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,180,F,-9,0,6,2,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,180,M,-9,0,5,0,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,190,F,-9,0,5,2,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,190,M,-9,0,6,2,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,200,F,-9,0,9,1,0,0,0,0,0,0,0,0
BTS,2003,3,COR,127143,Pleuronectes platessa,200,M,-9,0,5,3,0,0,0,0,0,0,0,0
